target question,query entities,target clarification question,valid clarifying entities,candidates,iir outputs,iir f1,iir bleu,gpt3 only query outputs,gpt3 only query f1,gpt3 only query bleu,gpt3 only actual outputs,gpt3 only actual f1,gpt3 only actual bleu,gpt3 pair outputs,gpt3 pair f1,gpt3 pair bleu,gpt3 choices outputs,gpt3 choices f1,gpt3 choices bleu,t5 only query outputs,t5 only query f1,t5 only query bleu,t5 only actual outputs,t5 only actual f1,t5 only actual bleu,t5 pair outputs,t5 pair f1,t5 pair bleu,t5 choices outputs,t5 choices f1,t5 choices bleu
Is my blood type (ABO) related to my HLA genes and antigens?,"['type', 'gene']",Do you want to know about HLA genes and antigens in relation to blood type ABO?,"{'hla', 'blood', 'relat', 'abo', 'antigen'}",['Is my blood type (ABO) related to my HLA genes and antigens?'],"Do you want to know about type, gene, and hla?",0.33333333333333337,0.4797305190766438, Do you want to know about the different types of genes?,0,0.4537011129994739, Do you want to know about the relationship between ABO blood type and HLA,0.6666666666666665,0.5835286936200839," Do you want to know about the relationship between blood type, HLA genes,",0.5,0.6457806548556952, Do you want to know about the relationship between blood type and HLA genes?,0.5,0.6457806548556952,Do you want to know about type of genes?,0,0.4516150512364538,Do you want to know about ABO genes and antigens?,0.5714285714285715,0.5704989465698934,Do you want to know about type genes and antigens?,0.33333333333333337,0.5704989465698934,Do you want to know about type genes and antigens?,0.33333333333333337,0.5704989465698934
Does this test detect all genetic causes of cystic fibrosis?,"['cystic', 'fibrosi']",Do you want to know about cystic fibrosis tests?,{'test'},['Does this test detect all genetic causes of cystic fibrosis?'],"Do you want to know about cystic, fibrosi, and genet?",0,0.668740304976422, Do you want to know about cystic fibrosis testing?,1.0,1.0, Do you want to know about the genetic causes of cystic fibrosis?,0,0.8860807458582579, Do you want to know about the cystic fibrosis test?,1.0,1.0, Do you want to know about the cystic fibrosis test?,1.0,1.0,Do you want to know about cystic fibrosis?,0,0.7788007830714049,Do you want to know about genetic causes of cystic fibrosis?,0,0.8860807458582579,Do you want to know about cystic fibrosis?,0,0.7788007830714049,Do you want to know about cystic fibrosis?,0,0.7788007830714049
Are those parasitic worms I'm seeing in my stool sample?,"['worm', 'stool']",Do you want to know about parasitic worms in stool samples?,"{'parasit', 'sampl'}","[""Are those parasitic worms I'm seeing in my stool sample?""]","Do you want to know about worm, stool, and parasit?",0.6666666666666666,1.0395168561479835, Do you want to know about the types of worms that can be found in stool,0,0.7451021228175467, Do you want to know about the parasites in your stool sample?,1.0,0.7652790120519943, Do you want to know about parasitic worms in stool samples?,1.0,1.0, Do you want to know about the types of worms that can be found in stool,0,0.7451021228175467,Do you want to know about worms and stool?,0,1.1369641416316925,Do you want to know about parasitic worms in stool sample?,1.0,1.0,Do you want to know about parasitic worms in stool sample?,1.0,1.0,Do you want to know about parasitic worms in stool sample?,1.0,1.0
How do you know a mismatch repair gene variant is harmful (pathogenic)?,"['gene', 'repair']",Do you want to know about how to repair harmful gene variants,"{'harm', 'variant'}",['How do you know a mismatch repair gene variant is harmful (pathogenic)?'],"Do you want to know about gene, repair, and variant?",0.6666666666666666,0.8741259979306506, Do you want to know about gene repair therapies?,0,0.8266973277544403, Do you want to know about how pathogenic gene variants are determined?,0.4,0.8860807458582579, Do you want to know about how gene repair works?,0,0.8266973277544403, Do you want to know about how gene repair works?,0,0.8266973277544403,Do you want to know about how to repair gene?,0,0.7388720016189068,Do you want to know about mismatch repair gene variants?,0.5,0.9369163177585036,Do you want to know about a mismatch repair gene variant,0.5,0.9369163177585036,Do you want to know about a mismatch repair gene variant,0.5,0.9369163177585036
My allergy symptoms are generally mild. How serious is this really?,"['allergi', 'symptom']",Do you want to know about what your allergy symptoms mean,{'mean'},"['My allergy test was negative, but I continue to have symptoms. What else could it be?', 'My allergy symptoms are generally mild. How serious is this really?']","Do you want to know about allergi, symptom, and mild?",0,0.668740304976422, Do you want to know about common allergy symptoms?,0,1.2007785714941597, Do you want to know about the seriousness of your allergy symptoms?,0,1.2007785714941597, Do you want to know about the seriousness of your mild allergy symptoms?,0,0.8860807458582579, Do you want to know about possible causes of allergy symptoms?,0,0.8860807458582579,Do you want to know about allergy symptoms?,0,0.7788007830714049,Do you want to know about allergy symptoms?,0,0.7788007830714049,Do you want to know about allergy symptoms?,0,0.7788007830714049,Do you want to know about allergy symptoms?,0,0.7788007830714049
Is there anything I can do to raise or lower my thyroglobulin level?,"['thyroglobulin', 'level']",Do you want to know about ways to manage thyroglobulin levels?,"{'way', 'manag'}","[""Why didn't my healthcare practitioner check my thyroglobulin level before removing my thyroid?"", 'Is there anything I can do to raise or lower my thyroglobulin level?']","Do you want to know about thyroglobulin, level, and lower?",0,0.9831143441193168, Do you want to know what the thyroglobulin level is?,0,1.1369641416316925, Do you want to know about ways to raise or lower thyroglobulin,0.4,0.5989311269184457, Do you want to know about ways to raise or lower thyroglobulin,0.4,0.5989311269184457, Do you want to know about the thyroglobulin level and its relation,0,0.9831143441193168,Do you want to know about how to get thyroglobulin level?,0,0.9831143441193168,Do you want to know about how to raise or lower thyroglobulin l,0,0.6933956560212984,Do you want to know about lowering thyroglobulin level,0,0.9831143441193168,Do you want to know about lowering thyroglobulin level,0,0.9831143441193168
Is an eGFR always calculated when a creatinine test is ordered?,"['egfr', 'creatin']",Do you want to know about the relationship between eGFR and creatine tests?,"{'relationship', 'test'}",[],"Do you want to know about egfr, creatin, and egfr?",0,0.9831143441193168, Do you want to know about the eGFR test for creatinine?,0.5,0.8266973277544403, Do you want to know about eGFR tests?,0.6666666666666666,0.9560690709701066, Do you want to know about eGFR and creatinine tests?,0.5,0.8266973277544403, Do you want to know about the eGFR test and how it measures creatine,0.5,0.7878495729958358,Do you want to know about eGFR creatine?,0,1.1369641416316925,Do you want to know about eGFRs when ordering creatinine test?,0.4,0.7451021228175467,Do you want to know about eGFR creatine test?,0.6666666666666666,0.7652790120519943,Do you want to know about eGFR creatine?,0,1.1369641416316925
I was diagnosed with colon cancer and testing was first done on my tumor. Why?,"['cancer', 'colon']",Do you want to know about colon cancer?,set(),"['I was diagnosed with colon cancer and testing was first done on my tumor. Why?', 'Other than stool tests, are there other ways of screening for colon cancer?', 'Other than stool tests, are there other ways to screen for colon cancer?']","Do you want to know about cancer, colon, and way?",0,1.0097303962829152, Do you want to know about colon cancer?,0,1.0, Do you want to know about why testing is done on tumors?,0,0.8490786706070159, Do you want to know about why testing is done on tumors?,0,0.8490786706070159, Do you want to know about other ways of screening for colon cancer?,0,0.8860807458582579,Do you want to know about how to get a cancer colon?,0,1.0097303962829152,Do you want to know about colon cancer?,0,1.0,Do you want to know about colon cancer?,0,1.0,Do you want to know about cancer screening for colon cancer?,0,0.8860807458582579
My doctor ordered more blood cultures after the initial cultures were drawn. Why?,"['blood', 'cultur']",Do you want to know about why your dctor ordered more blood cultures?,"{'dctor', 'order'}","['Why can blood culture results take so long?', 'My doctor ordered more blood cultures after the initial cultures were drawn. Why?']","Do you want to know about blood, cultur, and result?",0,0.9831143441193168, Do you want to know how to prepare for a blood culture test?,0,0.8860807458582579, Do you want to know why your doctor ordered more blood cultures?,0.5,0.7008534286706599, Do you want to know about why your doctor ordered more blood cultures?,0.5,0.7008534286706599, Do you want to know about the results of blood cultures?,0,0.9831143441193168,Do you want to know about how to test blood cultures?,0,0.9831143441193168,Do you want to know about how to get blood cultures after the initial cultures were drawn?,0,0.580240235081671,Do you want to know about what to do with blood cultures?,0,1.1369641416316925,Do you want to know about why blood cultures take so long?,0,0.8860807458582579
"Should I take magnesium supplements? And if so, how much?","['much', 'magnesium']",Do you want to know about how much magnesium your body needs?,"{'bodi', 'need'}","['Should I take magnesium supplements? And if so, how much?']","Do you want to know about much, magnesium, and take?",0,0.5475182535069453, Do you want to know about the amount of magnesium in your diet?,0,0.7693285502150031, Do you want to know about taking magnesium supplements and the recommended dosage?,0,0.5490746028893664, Do you want to know about taking magnesium supplements?,0,0.7693285502150031, Do you want to know about magnesium supplements and how much to take?,0,0.7451021228175467,Do you want to know about magnesium levels?,0,0.8897225230820115,Do you want to know about magnesium supplements?,0,0.8897225230820115,Do you want to know about magnesium supplements?,0,0.8897225230820115,Do you want to know about magnesium supplements?,0,0.8897225230820115
