question,answer
Can I have CAH if no CYP21A2 gene mutations were detected during genetic testing?,"Yes. Testing detects the most common mutations but will not detect those that are rare. If a specific mutation has been identified in your family members, then you should be tested for that mutation. Also, this test only detects CAH due to 21-hydroxylase deficiency. Other, less common types of CAH will not have mutations in the CYP21A2 gene."
Should I tell all of my healthcare practitioners if I have CAH?,"Yes, this is an important thing for all of your healthcare practitioners to know. Most people with CAH will require the regular replacement of one or more hormones and will need to be monitored."
"If I have CAH, or my child does, should my family members be tested?","You should talk to your healthcare practitioner or a genetic counselor about this. Since CAH is caused by an autosomal recessive genetic mutation, both parents must have an altered gene in order for a child to have the condition. If both parents are carriers then each child has a 25% chance of having the condition."
How long will it take for 17-hydroxyprogesterone results?,This depends on the laboratory performing the test. 17-OHP testing requires specialized equipment and is not offered by every laboratory. It may be necessary to send your blood sample to a reference laboratory and it may be several days to weeks for results to be available.
How can the healthcare practitioner determine the sex of a baby with sex organs that are not clearly male or female?,Chromosome analysis (karyotyping) can be performed to identify whether the baby has XX (female) or XY (male) sex chromosomes.
Why do I have to collect my urine for 24 hours?,"The level of 5-HIAA in the urine varies throughout the day. By collecting all urine for 24 hours, the amount of 5-HIAA in the urine can be averaged over the entire day and increases of 5-HIAA will be detected more easily than in a single random urine sample."
Will my results be accurate if I must continue to take my medication?,"If the drug is one that can increase or decrease the amount of serotonin and 5-HIAA, then your results may be affected. However, it is up to your healthcare provider and you to decide whether or not your medication can be safely stopped prior to and during the test collection. If your drugs must be taken, then your healthcare practitioner will interpret the test results with this in mind."
Are some people at a higher risk for developing a carcinoid tumor?,"Anyone at any age can develop a carcinoid tumor but, according to the American Cancer Society, the average age at diagnosis is usually in the early 60s. People with a family history of multiple endocrine neoplasia (MEN1), a genetic condition that increases a person's risk of developing tumors in the endocrine system glands, may be at higher risk for developing a carcinoid tumor."
Is acetaminophen dangerous if used appropriately?,"Acetaminophen is one of the safest, most effective drugs known if used at the recommended dose and dose interval.
Children, particularly those under 6 years of age, are at risk of accidental overdose if caregivers do not follow dosing instructions carefully. However, the reported incidence for children are not as common as in adults. Deaths are typically only seen in cases involving multi-drug combinations."
"In addition to acetaminophen levels, what other lab tests might be done?","Since high levels of acetaminophen can be toxic to the liver, healthcare practitioners may also order tests such as AST and ALT to detect liver damage. A PT may be used to detect impaired liver function. A healthcare practitioner might also order serum salicylate levels or a urine drug screen for unconscious patients or those for whom there is a suspicion of ingestion of other substances. Other possible tests include blood gases, lactate level, and metabolic panel with creatinine. These are used to monitor severity of liver failure and, in cases of severe overdose, determine whether an overdose patient would benefit from liver transplantation.
Women of childbearing age who have suspected acetaminophen overdose may get human chorionic gonadotropin (hCG) tests to determine if they are pregnant because the drug crosses the placenta and can harm the fetus."
Can this test be performed in my healthcare provider's office?,"No, it is specialized testing that is not offered by every laboratory. Your blood sample will likely need to be sent to a reference laboratory for testing."
How serious is myasthenia gravis (MG)?,"Most people who have it can live a normal or near normal life with treatment and monitoring. One of the most serious complications is a respiratory myasthenic crisis that can occur when muscles that control breathing are weakened. This can be a medical emergency and often requires hospitalization. For additional details, see the article on Myasthenia Gravis."
Can myasthenia gravis affect my heart?,"No, the receptors for heart and smooth (digestive) muscles are different from skeletal muscles, so they are not affected by the formation of AChR antibodies."
Can MG be passed from one person to another?,"MG is not contagious, but a pregnant woman with MG can pass some of her AChR antibodies to her fetus. This can cause a newborn to have MG symptoms for several weeks after birth."
Can MG be inherited?,"As an autoimmune process, no. Some people may inherit a genetic defect that causes congenital myasthenic syndrome, a condition with similar symptoms."
Can I have a tuberculosis (TB) infection and not be sick?,"Yes. There are many people in the United States and worldwide who have a latent form of TB infection. They have been exposed to the bacteria, but their body's immune system has confined it to a localized area in their lungs, in an inactive form. People with latent TB infections are not sick and they are not infectious, but the bacteria are still there and still alive. If those with latent infections are tested, most would have a positive TB skin test or IGRA test. The majority of people with latent TB infection, about 90%, will never progress to active tuberculosis disease.
Those who do have active TB may not feel ill at first. Early symptoms may be subtle and, if the TB is extrapulmonary (outside of the lungs in organs such as the kidney and bone), the tuberculosis may be fairly advanced by the time it causes noticeable symptoms."
